"","V1","V2"
"1",591465.228276781,5749868.36800821
"2",591463.458428901,5749895.38084153
"3",591461.81453021,5749922.36579935
"4",591460.257373331,5749949.57266833
"5",591458.806857395,5749977.09612913
"6",591457.487406704,5750004.43583675
"7",591456.300225742,5750031.34175759
"8",591455.237323007,5750057.75261149
"9",591454.279608763,5750083.85382638
"10",591453.39390367,5750109.89438646
"11",591452.572181215,5750135.87502861
"12",591451.797419805,5750161.85721229
"13",591451.034544196,5750187.9648229
"14",591450.239486156,5750214.32145063
"15",591449.388402065,5750240.73925811
"16",591448.463321335,5750267.24766428
"17",591447.40327642,5750293.81465925
"18",591446.182423196,5750320.31335781
"19",591185.306771834,5749457.03240837
"20",591168.242271492,5749451.47089657
"21",591151.117059498,5749445.59530174
"22",591133.999012883,5749439.53188778
"23",591116.9251026,5749433.2818681
"24",591100.062993991,5749427.03980053
"25",591083.369718772,5749420.86529263
"26",591066.699408932,5749414.72254799
"27",591050.159929486,5749408.64711604
"28",591033.794194462,5749402.73343225
"29",591017.606285685,5749396.8876032
"30",591001.577100267,5749391.20402957
"31",590985.693766178,5749385.58726123
"32",590969.933251268,5749380.06855157
"33",590954.309544527,5749374.64835967
"34",590938.810740341,5749369.23226746
"35",590923.403829825,5749363.88120961
"36",590475.060758439,5749814.6764447
"37",590475.788360716,5749842.52038007
"38",590476.816392473,5749869.5309323
"39",590478.117600161,5749896.08131524
"40",590479.652826817,5749922.38930719
"41",590481.408912404,5749948.64253072
"42",590498.090818405,5749973.50910223
"43",590500.353689128,5749999.5598983
"44",590502.859211604,5750025.83672253
"45",590505.605286839,5750052.40352463
"46",590508.58805339,5750079.13414142
"47",590511.803566793,5750105.93541655
"48",590515.251704723,5750133.02440897
"49",590518.879460695,5750160.37037056
"50",590522.627017356,5750187.8453015
"51",590526.47137529,5750215.47945593
"52",590530.351617407,5750243.20881644
"53",590534.23988376,5750270.93744107
"54",590538.144931147,5750298.85567235
"55",590542.067857123,5750326.96054545
"56",590545.961805767,5750355.00345079
"57",590549.826892982,5750382.9503823
"58",590553.692994606,5750410.86633916
